,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
837,8072,陞泰,"30,709",30,"655,886",21.40,21.50,21.30,21.50,+,0.15,21.35,4,21.50,16,0.00,
838,8081,致新,"121,210",91,"8,296,081",68.50,68.60,68.10,68.40,-,0.3,68.40,2,68.50,1,14.90,
839,8101,華冠,"217,468",78,"832,432",3.84,3.85,3.81,3.85,,0.0,3.85,7,3.86,13,0.00,
840,8103,瀚荃,"204,224",123,"6,294,344",30.80,30.95,30.75,30.85,-,0.15,30.85,4,30.95,6,9.79,
841,8105,凌巨,"1,189,119",570,"21,826,633",18.40,18.50,18.30,18.35,-,0.05,18.30,302,18.40,93,10.31,
842,8110,華東,"3,032,880","1,097","43,487,110",14.65,14.65,14.15,14.30,-,0.4,14.30,24,14.35,13,9.41,
843,8112,至上,"1,458,163",785,"41,314,366",28.50,28.55,28.15,28.40,-,0.3,28.40,5,28.45,31,7.70,
844,8114,振樺電,"132,243",96,"18,497,763",140.00,140.50,138.50,140.50,-,1.0,140.50,8,141.00,11,13.33,
845,8131,福懋科,"546,050",279,"17,247,880",31.70,31.75,31.45,31.60,-,0.15,31.60,76,31.65,1,10.97,
846,8150,南茂,"2,504,844","1,291","66,904,581",26.90,26.90,26.65,26.65,-,0.25,26.65,33,26.70,1,6.56,
847,8163,達方,"1,994,760","1,087","60,648,109",30.10,30.75,29.95,30.55,+,0.3,30.50,1,30.55,2,14.83,
848,8201,無敵,"98,006",57,"1,292,525",13.25,13.25,13.10,13.20,-,0.05,13.20,12,13.25,12,0.00,
849,8210,勤誠,"65,003",46,"2,888,634",44.40,44.60,44.35,44.60,,0.0,44.45,3,44.60,7,10.83,
850,8213,志超,"260,795",189,"8,149,422",31.30,31.35,31.20,31.30,-,0.05,31.25,12,31.30,8,9.40,
851,8215,明基材,"851,003",360,"16,316,107",19.25,19.30,19.00,19.20,-,0.05,19.20,22,19.25,6,13.62,
853,8249,菱光,"209,290",131,"5,426,454",26.15,26.15,25.75,25.95,,0.0,25.90,1,25.95,8,13.31,
855,8271,宇瞻,"134,052",113,"5,112,734",38.00,38.30,38.00,38.25,,0.0,38.25,2,38.30,1,10.15,
859,8411,福貞-KY,"12,966",14,"333,773",25.75,25.80,25.60,25.80,,0.0,25.60,2,25.80,7,14.74,
860,8422,可寧衛,"266,724",248,"45,795,386",172.00,172.50,171.00,171.50,-,0.5,171.50,23,172.50,16,14.16,
862,8429,金麗-KY,"404,722",224,"9,569,792",23.60,23.75,23.55,23.60,-,0.15,23.60,44,23.65,1,6.54,
863,8442,威宏-KY,"6,000",6,"413,200",68.80,69.00,68.80,69.00,-,0.3,69.30,1,69.50,2,0.00,
864,8443,阿瘦,"22,080",8,"304,596",13.80,13.95,13.70,13.85,-,0.1,13.85,1,13.95,6,0.00,
868,8466,美吉吉-KY,"122,100",103,"10,638,400",87.80,88.50,86.10,88.30,+,1.8,87.80,1,88.00,1,11.79,
873,8481,政伸,"56,100",36,"2,535,859",44.00,46.00,43.60,45.20,+,1.2,45.20,3,45.30,1,13.95,
874,8488,吉源-KY,"4,000",3,"119,700",30.00,30.00,29.85,29.85,-,0.1,29.85,1,30.20,1,11.99,
875,8499,鼎炫-KY,"378,000",314,"34,356,200",88.00,96.30,84.50,94.80,+,5.8,94.80,2,95.00,4,14.28,
876,8926,台汽電,"348,673",225,"9,137,114",26.20,26.40,26.05,26.40,,0.0,26.35,1,26.45,18,13.47,
877,8940,新天地,"7,000",6,"95,500",13.80,13.80,13.60,13.60,-,0.05,13.60,7,13.70,6,0.00,
879,9103,美德醫療-DR,"426,001",119,"619,131",1.47,1.47,1.45,1.45,-,0.02,1.45,68,1.46,9,0.00,
880,910322,康師傅-DR,"5,001",4,"150,179",30.00,30.05,30.00,30.05,-,0.55,30.05,2,30.40,5,0.00,
881,910482,聖馬丁-DR,"80,001",8,"37,990",0.47,0.49,0.47,0.49,X,0.0,0.48,45,0.49,53,0.00,
882,9105,泰金寶-DR,"1,243,770",236,"3,681,356",2.97,2.98,2.94,2.95,-,0.02,2.95,263,2.98,170,0.00,
883,910708,恒大健-DR,0,0,0,--,--,--,--,,0.0,559.00,1,600.00,1,0.00,
884,910861,神州-DR,"20,001",8,"174,428",8.78,8.78,8.62,8.62,-,0.18,8.62,1,8.85,2,0.00,
885,9110,越南控-DR,"3,001",4,"9,923",3.35,3.35,3.25,3.32,+,0.02,3.25,4,3.32,3,0.00,
886,911608,明輝-DR,"51,000",6,"105,740",1.94,2.10,1.94,2.10,-,0.04,1.99,3,2.09,4,0.00,
887,911616,杜康-DR,"11,000",3,"13,080",1.18,1.19,1.18,1.19,,0.0,1.19,12,1.25,5,0.00,
888,911619,耀傑-DR,"2,000",1,"1,860",0.93,0.93,0.93,0.93,X,0.0,0.79,4,0.92,2,0.00,
889,911622,泰聚亨-DR,0,0,0,--,--,--,--,,0.0,5.90,2,6.50,3,0.00,
890,911868,同方友友-DR,"1,000",1,"1,350",1.35,1.35,1.35,1.35,+,0.02,1.29,20,1.35,4,0.00,
891,912000,晨訊科-DR,"10,000",2,"29,500",2.95,2.95,2.95,2.95,X,0.0,2.95,2,3.04,3,0.00,
892,912398,友佳-DR,"3,000",1,"24,930",8.31,8.31,8.31,8.31,-,0.03,8.31,5,8.45,10,0.00,
893,9136,巨騰-DR,"215,000",69,"1,847,040",8.68,8.68,8.56,8.58,-,0.1,8.57,23,8.58,2,0.00,
894,9157,陽光能源-DR,"123,001",25,"158,941",1.30,1.33,1.27,1.33,-,0.05,1.28,7,1.32,13,0.00,
895,9188,精熙-DR,"32,000",6,"170,810",5.34,5.34,5.27,5.27,-,0.03,5.27,11,5.34,43,0.00,
896,9802,鈺齊-KY,"158,136",118,"11,295,500",71.20,72.10,70.90,71.90,+,0.3,71.40,10,71.90,2,12.35,
897,9902,台火,"106,454",55,"1,094,873",10.30,10.30,10.25,10.30,-,0.05,10.25,45,10.30,4,0.00,
898,9904,寶成,"5,191,362","2,563","202,342,968",38.75,39.25,38.60,39.20,+,0.35,39.15,97,39.20,43,8.73,
899,9905,大華,"36,508",27,"924,003",25.35,25.35,25.20,25.35,,0.0,25.30,3,25.40,15,12.49,
904,9911,櫻花,"3,055,079","1,920","123,157,669",39.10,41.50,38.80,40.50,+,1.35,40.20,23,40.50,18,13.68,
909,9919,康那香,"211,656",105,"2,582,401",12.20,12.35,12.10,12.20,,0.0,12.15,39,12.20,7,0.00,
911,9924,福興,"282,827",178,"10,597,101",37.75,37.75,37.30,37.45,-,0.3,37.40,16,37.55,2,11.52,
914,9927,泰銘,"236,017",143,"9,390,521",39.90,39.90,39.70,39.85,-,0.15,39.85,6,39.90,1,8.55,
915,9928,中視,"23,191",11,"120,098",5.30,5.35,5.12,5.35,+,0.23,4.97,2,5.35,1,0.00,
919,9933,中鼎,"936,111",628,"42,383,559",45.55,45.55,45.10,45.30,-,0.4,45.25,6,45.30,92,12.98,
920,9934,成霖,"597,225",406,"11,535,610",19.40,19.50,19.25,19.50,,0.0,19.45,24,19.50,518,10.00,
924,9939,宏全,"613,636",445,"34,508,136",56.50,56.50,56.00,56.20,-,0.3,56.20,30,56.30,1,12.92,
925,9940,信義,"398,844",253,"15,192,048",38.45,38.45,37.95,38.10,-,0.35,38.05,19,38.10,9,8.74,
926,9941,裕融,"470,525",400,"53,252,350",112.50,115.00,111.00,113.50,+,0.5,113.50,7,114.00,26,14.63,
927,9942,茂順,"39,300",35,"3,587,719",91.00,91.40,91.00,91.40,+,0.4,91.40,1,91.50,3,14.33,
928,9943,好樂迪,"64,726",69,"3,487,204",53.80,54.10,53.70,54.10,-,0.1,54.00,1,54.10,8,12.41,
930,9945,潤泰新,"3,736,138","1,927","124,164,872",33.00,33.70,32.65,33.45,+,0.4,33.45,15,33.50,52,7.55,
931,9946,三發地產,"188,743",83,"2,429,334",12.80,13.00,12.80,13.00,-,0.05,12.90,3,13.00,4,13.98,
932,9955,佳龍,"69,012",49,"1,037,730",14.80,15.15,14.80,15.00,+,0.2,14.95,7,15.00,1,0.00,
