,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
524,3015,全漢,"408,702",226,"10,005,210",24.55,24.60,24.40,24.45,-,0.3,24.45,2,24.50,18,12.54,
526,3017,奇鋐,"5,594,661","2,639","171,996,935",30.00,31.20,29.90,30.95,+,0.75,30.90,31,30.95,26,11.77,
529,3021,鴻名,"110,210",65,"1,620,597",14.75,15.00,14.50,14.80,+,0.05,14.80,14,15.00,26,12.76,
530,3022,威強電,"225,245",120,"9,073,981",40.15,40.70,40.05,40.55,+,0.25,40.55,2,40.60,9,10.64,
532,3024,憶聲,"112,753",65,"726,512",6.46,6.49,6.41,6.49,+,0.01,6.44,1,6.49,29,2.22,
535,3027,盛達,"220,874",82,"2,341,568",10.70,10.70,10.55,10.60,-,0.1,10.60,26,10.65,8,0.00,
536,3028,增你強,"531,739",282,"11,000,304",20.85,20.90,20.50,20.80,-,0.1,20.80,23,20.90,23,11.62,
537,3029,零壹,"239,166",123,"4,577,877",19.05,19.20,19.05,19.15,,0.0,19.15,7,19.25,2,10.94,
540,3032,偉訓,"106,712",64,"3,932,858",37.10,37.10,36.65,36.80,-,0.6,36.80,4,37.00,14,11.36,
541,3033,威健,"1,052,675",498,"21,072,209",20.05,20.20,19.85,20.20,+,0.05,20.15,3,20.20,26,12.17,
544,3036,文曄,"1,405,477",940,"65,901,469",47.00,47.15,46.70,47.00,-,0.15,47.00,13,47.10,9,11.08,
547,3040,遠見,"352,400",195,"17,646,600",49.80,50.50,49.80,50.00,,0.0,50.00,12,50.10,2,4.49,
548,3041,揚智,"1,879,793",774,"34,102,000",17.80,18.40,17.80,18.25,,0.0,18.25,12,18.30,3,0.00,
549,3042,晶技,"1,031,616",647,"41,988,206",40.50,41.00,40.20,41.00,+,0.35,40.90,6,41.00,18,12.39,
550,3043,科風,"25,700",18,"60,002",2.35,2.35,2.30,2.31,+,0.02,2.31,4,2.32,1,0.00,
551,3044,健鼎,"3,036,302","2,148","285,836,588",95.90,96.00,92.60,94.00,-,2.0,94.00,128,94.20,1,11.02,
553,3046,建碁,"190,309",147,"3,430,888",17.40,18.15,17.40,18.15,X,0.0,18.15,53,--,0,0.00,
554,3047,訊舟,"287,117",104,"2,840,042",9.90,9.94,9.86,9.90,-,0.05,9.88,36,9.90,10,0.00,
557,3050,鈺德,"546,063",223,"6,708,217",12.20,12.40,12.20,12.30,+,0.05,12.30,11,12.35,168,12.42,
562,3056,總太,"947,276",437,"18,627,113",19.80,19.80,19.45,19.80,-,0.05,19.75,22,19.80,41,5.98,
563,3057,喬鼎,"170,411",92,"1,771,598",10.40,10.55,10.30,10.40,-,0.05,10.40,12,10.45,5,0.00,
564,3058,立德,"128,404",53,"1,163,233",9.03,9.12,9.02,9.08,-,0.05,9.08,3,9.11,5,0.00,
568,3090,日電貿,"3,066,050","1,656","114,865,171",36.00,38.40,35.50,37.90,+,1.65,37.85,12,37.90,2,12.31,
571,3149,正達,"564,937",266,"10,481,328",18.80,18.80,18.50,18.50,-,0.4,18.50,19,18.55,15,0.00,
572,3164,景岳,"257,589",186,"6,301,733",24.80,24.80,24.00,24.30,-,0.8,24.30,17,24.45,6,0.00,
573,3167,大量,"1,288,105",701,"68,591,670",53.00,54.60,52.00,54.20,+,0.5,54.10,65,54.30,17,14.49,
575,3209,全科,"174,922",104,"3,550,301",20.35,20.35,20.25,20.30,-,0.05,20.30,57,20.35,12,14.10,
576,3229,晟鈦,"118,000",76,"2,236,000",19.00,19.35,18.55,19.00,-,0.05,19.00,3,19.05,1,0.00,
582,3308,聯德,"513,000",171,"4,914,890",9.70,9.70,9.45,9.52,-,0.19,9.51,20,9.60,4,0.00,
583,3311,閎暉,"399,632",165,"7,303,830",18.30,18.45,18.20,18.25,-,0.15,18.25,29,18.35,4,0.00,
584,3312,弘憶股,"130,534",151,"903,338",6.93,6.97,6.89,6.95,+,0.02,6.89,5,6.96,3,0.00,
585,3321,同泰,"4,903,182","1,209","93,789,871",18.90,19.40,18.35,18.80,-,0.2,18.50,29,18.80,6,0.00,
588,3356,奇偶,"1,650,342","1,133","64,210,906",37.35,40.00,37.35,39.30,+,1.95,39.25,2,39.30,8,0.00,
589,3376,新日興,"1,457,199",755,"122,315,891",83.00,84.80,82.60,84.40,+,1.2,84.30,147,84.40,19,13.86,
591,3383,新世紀,"249,662",57,"887,036",3.55,3.61,3.50,3.52,-,0.09,3.52,3,3.60,2,0.00,
596,3432,台端,"31,003",22,"363,583",11.70,11.80,11.70,11.80,,0.0,11.75,1,11.80,2,0.00,
601,3481,群創,"99,357,865","11,600","1,361,219,302",13.70,13.90,13.55,13.75,-,0.1,13.75,"1,167",13.80,364,3.14,
602,3494,誠研,"614,007",263,"6,886,777",11.40,11.40,11.15,11.25,-,0.15,11.20,12,11.25,3,0.00,
603,3501,維熹,"228,051",171,"12,862,101",56.70,56.80,56.20,56.50,,0.0,56.50,14,56.70,13,10.37,
604,3504,揚明光,"3,623,401","2,402","232,248,085",63.50,64.80,63.20,64.00,+,0.1,64.00,10,64.20,8,0.00,
605,3514,昱晶,"1,295,706",511,"22,709,494",17.50,17.65,17.40,17.50,-,0.05,17.50,87,17.55,4,0.00,
607,3518,柏騰,"364,226",269,"12,141,218",32.80,33.85,32.60,33.20,+,0.4,33.05,2,33.20,8,0.00,
608,3519,綠能,"1,263,872",537,"22,125,253",17.50,17.65,17.45,17.50,-,0.15,17.50,44,17.55,20,0.00,
609,3528,安馳,"57,134",41,"1,977,510",34.50,34.80,34.50,34.80,-,0.05,34.65,1,34.80,2,13.86,
612,3535,晶彩科,"107,087",68,"1,303,318",12.25,12.25,12.10,12.20,+,0.05,12.15,27,12.20,10,0.00,
615,3550,聯穎,"435,200",257,"8,957,539",20.30,20.75,20.30,20.75,+,0.1,20.70,4,20.75,1,13.83,
616,3557,嘉威,"720,233",352,"12,086,013",16.80,17.40,16.10,16.85,-,0.45,16.80,21,16.85,5,0.00,
617,3561,昇陽光電,"1,457,847","1,166","21,938,477",14.90,15.20,14.80,15.15,+,0.25,15.15,3,15.20,300,0.00,
618,3576,聯合再生,"1,061,004",585,"14,735,189",13.80,14.00,13.80,13.90,+,0.05,13.85,63,13.90,40,0.00,
619,3579,尚志,"200,079",99,"3,249,675",16.55,16.55,16.10,16.20,-,0.35,16.15,81,16.20,85,0.00,
622,3591,艾笛森,"194,100",90,"3,118,200",16.05,16.20,16.00,16.05,-,0.1,16.05,45,16.10,1,0.00,
623,3593,力銘,"117,008",52,"1,346,238",11.50,11.55,11.45,11.55,+,0.05,11.45,7,11.55,12,0.00,
624,3596,智易,"948,307",711,"47,212,769",49.35,50.30,49.00,50.20,+,0.85,50.10,18,50.20,4,13.32,
626,3607,谷崧,"202,012",99,"6,302,346",31.15,31.35,31.00,31.25,-,0.4,31.25,1,31.30,7,0.00,
627,3617,碩天,"97,001",89,"9,470,904",98.50,98.50,97.20,97.80,-,0.7,97.60,2,97.80,1,11.16,
628,3622,洋華,"838,296",417,"15,656,428",18.30,18.90,18.30,18.80,+,0.4,18.80,2,18.85,1,0.00,
635,3679,新至陞,"36,100",32,"2,574,500",71.30,71.50,71.20,71.50,+,0.2,71.50,3,71.60,7,10.74,
636,3682,亞太電,"9,279,885","1,697","93,121,120",10.00,10.10,9.93,10.05,+,0.05,10.05,161,10.10,"1,190",0.00,
637,3686,達能,"2,093,206",640,"15,110,304",7.39,7.39,7.11,7.15,-,0.24,7.15,262,7.17,2,0.00,
639,3698,隆達,"1,504,218",826,"36,532,382",24.45,24.45,24.00,24.25,+,0.05,24.25,23,24.30,1,0.00,
641,3702,大聯大,"5,699,425","1,966","225,625,247",39.70,39.80,39.45,39.75,-,0.05,39.70,2,39.75,111,12.08,
642,3703,欣陸,"1,787,316",474,"29,045,065",16.40,16.40,16.15,16.30,-,0.15,16.25,170,16.30,66,6.68,
643,3704,合勤控,"1,476,235",642,"22,754,121",14.85,15.75,14.75,15.45,+,0.6,15.40,32,15.45,9,0.00,
645,3706,神達,"1,949,874",830,"66,282,717",33.85,34.15,33.75,33.95,-,0.1,33.95,17,34.00,7,8.89,
647,4104,佳醫,"132,557",130,"6,058,099",45.55,45.90,45.50,45.75,+,0.05,45.75,1,45.85,11,14.71,
649,4108,懷特,"315,434",198,"7,305,880",23.30,23.30,23.00,23.15,-,0.25,23.15,10,23.25,14,0.00,
653,4141,龍燈-KY,"83,000",46,"2,260,550",27.35,27.35,27.20,27.20,-,0.15,27.20,10,27.25,3,0.00,
654,4142,國光生,"331,284",188,"6,724,591",20.40,20.50,20.15,20.20,+,0.05,20.20,9,20.25,7,0.00,
